Process ID=1508,Messaging Broker Name=AISEmbeddedBroker,Broker Memory Limit=52428800,Broker Store Limit=1073741824
Time,CPU Usage,Threads,Handles,Private Bytes,Virtual Bytes,Available Bytes,Broker Memory Usage,Broker Store Usage,Total Messages Enqueued,Total Messages Dequeued,Number of Pending Messages,Number of Queues,Number of Topics,Total CPU Usage, Process - IO Read Operations/sec, Process - IO Write Operations/sec, System - File Read Operations/sec, System - File Write Operations/sec
2017-Feb-06 18:22:35.004,119.001,111,2015,1531719680,8769613824,23784984576,0,1,0,0,0,0,0,144.219,902,16,959,156
2017-Feb-06 18:22:45.007,128.359,111,2015,1535668224,8770662400,23708594176,0,1,0,0,0,0,0,142.035,907,16,949,217
2017-Feb-06 18:22:55.025,111.029,110,2014,1541091328,8771710976,23631757312,0,1,0,0,0,0,0,117.989,828,16,869,25
2017-Feb-06 18:23:05.027,107.615,110,2015,1546022912,8771710976,23550701568,0,1,0,0,0,0,0,116.925,948,14,1027,14
2017-Feb-06 18:23:15.029,116.505,111,2017,1551093760,8790388736,23478157312,0,1,0,0,0,0,0,127.063,803,16,887,16
2017-Feb-06 18:23:25.032,110.423,111,2018,1556140032,8790388736,23405940736,0,1,0,0,0,0,0,118.796,845,16,865,16
2017-Feb-06 18:23:35.034,114.166,111,2018,1562583040,8792485888,23326937088,0,1,0,0,0,0,0,120.980,833,16,850,17
2017-Feb-06 18:23:45.036,132.258,111,2016,1570488320,8809066496,23251152896,0,1,0,0,0,0,0,139.696,845,16,867,16
2017-Feb-06 18:23:55.039,153.625,110,2013,1578303488,8809066496,23152865280,0,1,0,0,0,0,0,160.127,1054,16,1101,26
2017-Feb-06 18:24:05.041,155.964,110,2013,1587941376,8825647104,23048183808,0,1,0,0,0,0,0,189.448,906,16,1371,123
2017-Feb-06 18:24:15.043,168.129,109,2010,1598869504,8828792832,22959230976,0,1,0,0,0,0,0,219.237,1133,16,1772,248
2017-Feb-06 18:24:25.046,162.671,109,2012,1608224768,8853762048,22862565376,0,1,0,0,0,0,0,179.467,1043,13,1123,18
